Node Name,CPU Cores,CPU Usage (%),Memory Usage (MiB),Memory Usage (%),GPU Index,GPU Name,GPU Usage (%),GPU Memory Usage (%),GPU Memory Total (MiB),GPU Memory Usage (MiB),GPU Power Usage (W)
tw0004.dev.rcd.clemson.edu,35646,55,9510,3,0,NVIDIA A100 80GB PCIe,25,0,81920,15487,79.60
tw0004.dev.rcd.clemson.edu,1149,1,9422,3,0,NVIDIA A100 80GB PCIe,0,0,81920,16272,48.66
tw0004.dev.rcd.clemson.edu,1149,1,9422,3,0,NVIDIA A100 80GB PCIe,100,1,81920,16749,144.77
tw0004.dev.rcd.clemson.edu,16448,25,50096,19,0,NVIDIA A100 80GB PCIe,100,1,81920,18267,148.65
tw0004.dev.rcd.clemson.edu,16448,25,50096,19,0,NVIDIA A100 80GB PCIe,100,2,81920,18371,147.56
tw0004.dev.rcd.clemson.edu,18607,29,53608,20,0,NVIDIA A100 80GB PCIe,100,1,81920,18384,146.59
tw0004.dev.rcd.clemson.edu,18607,29,53608,20,0,NVIDIA A100 80GB PCIe,100,1,81920,18432,147.86
tw0004.dev.rcd.clemson.edu,18607,29,53608,20,0,NVIDIA A100 80GB PCIe,100,1,81920,18412,143.60
tw0004.dev.rcd.clemson.edu,44613,69,62983,24,0,NVIDIA A100 80GB PCIe,100,2,81920,18451,147.92
tw0004.dev.rcd.clemson.edu,44613,69,62983,24,0,NVIDIA A100 80GB PCIe,100,2,81920,18467,145.07
tw0004.dev.rcd.clemson.edu,60511,94,63870,24,0,NVIDIA A100 80GB PCIe,100,2,81920,18447,144.07
tw0004.dev.rcd.clemson.edu,60511,94,63870,24,0,NVIDIA A100 80GB PCIe,100,1,81920,18460,150.71
tw0004.dev.rcd.clemson.edu,45745,71,65263,25,0,NVIDIA A100 80GB PCIe,100,1,81920,18455,142.51
tw0004.dev.rcd.clemson.edu,45745,71,65263,25,0,NVIDIA A100 80GB PCIe,100,2,81920,18416,145.19
tw0004.dev.rcd.clemson.edu,29998,46,65759,25,0,NVIDIA A100 80GB PCIe,100,2,81920,18444,150.95
tw0004.dev.rcd.clemson.edu,29998,46,65759,25,0,NVIDIA A100 80GB PCIe,100,2,81920,18396,153.00
tw0004.dev.rcd.clemson.edu,29213,45,66885,26,0,NVIDIA A100 80GB PCIe,100,2,81920,18388,148.43
tw0004.dev.rcd.clemson.edu,29213,45,66885,26,0,NVIDIA A100 80GB PCIe,100,1,81920,18352,157.54
tw0004.dev.rcd.clemson.edu,28120,43,67416,26,0,NVIDIA A100 80GB PCIe,100,2,81920,18348,148.78
tw0004.dev.rcd.clemson.edu,28120,43,67416,26,0,NVIDIA A100 80GB PCIe,100,2,81920,18344,143.01
tw0004.dev.rcd.clemson.edu,27900,43,68461,26,0,NVIDIA A100 80GB PCIe,100,2,81920,18352,135.69
tw0004.dev.rcd.clemson.edu,27900,43,68461,26,0,NVIDIA A100 80GB PCIe,100,2,81920,18348,144.58
tw0004.dev.rcd.clemson.edu,26906,42,68932,26,0,NVIDIA A100 80GB PCIe,100,1,81920,18348,146.49
tw0004.dev.rcd.clemson.edu,26906,42,68932,26,0,NVIDIA A100 80GB PCIe,100,2,81920,18356,134.75
tw0004.dev.rcd.clemson.edu,27241,42,69877,27,0,NVIDIA A100 80GB PCIe,100,2,81920,18363,140.65
tw0004.dev.rcd.clemson.edu,27241,42,69877,27,0,NVIDIA A100 80GB PCIe,100,2,81920,18363,157.69
tw0004.dev.rcd.clemson.edu,27241,42,69877,27,0,NVIDIA A100 80GB PCIe,100,2,81920,18360,141.79
tw0004.dev.rcd.clemson.edu,27060,42,70393,27,0,NVIDIA A100 80GB PCIe,100,2,81920,18360,150.27
tw0004.dev.rcd.clemson.edu,27060,42,70393,27,0,NVIDIA A100 80GB PCIe,100,2,81920,18356,138.10
tw0004.dev.rcd.clemson.edu,27519,42,71460,27,0,NVIDIA A100 80GB PCIe,100,2,81920,18356,140.56
tw0004.dev.rcd.clemson.edu,27519,42,71460,27,0,NVIDIA A100 80GB PCIe,100,2,81920,18356,150.84
tw0004.dev.rcd.clemson.edu,27246,42,71984,27,0,NVIDIA A100 80GB PCIe,100,2,81920,18349,141.29
tw0004.dev.rcd.clemson.edu,27780,43,72976,28,0,NVIDIA A100 80GB PCIe,100,2,81920,18367,146.94
tw0004.dev.rcd.clemson.edu,27780,43,72976,28,0,NVIDIA A100 80GB PCIe,100,2,81920,18352,138.24
tw0004.dev.rcd.clemson.edu,27780,43,72976,28,0,NVIDIA A100 80GB PCIe,100,2,81920,18360,156.08
tw0004.dev.rcd.clemson.edu,28014,43,73489,28,0,NVIDIA A100 80GB PCIe,100,2,81920,18352,148.88
tw0004.dev.rcd.clemson.edu,27954,43,74468,28,0,NVIDIA A100 80GB PCIe,100,2,81920,18360,151.15
tw0004.dev.rcd.clemson.edu,27954,43,74468,28,0,NVIDIA A100 80GB PCIe,100,2,81920,18360,149.43
tw0004.dev.rcd.clemson.edu,27841,43,74891,29,0,NVIDIA A100 80GB PCIe,100,2,81920,18356,160.64
tw0004.dev.rcd.clemson.edu,27870,43,75736,29,0,NVIDIA A100 80GB PCIe,100,2,81920,18352,149.36
tw0004.dev.rcd.clemson.edu,27870,43,75736,29,0,NVIDIA A100 80GB PCIe,100,2,81920,18352,152.58
tw0004.dev.rcd.clemson.edu,27870,43,75736,29,0,NVIDIA A100 80GB PCIe,100,2,81920,18352,149.38
tw0004.dev.rcd.clemson.edu,27870,43,75736,29,0,NVIDIA A100 80GB PCIe,100,2,81920,18352,158.73
tw0004.dev.rcd.clemson.edu,28063,43,76185,29,0,NVIDIA A100 80GB PCIe,100,2,81920,18359,149.23
tw0004.dev.rcd.clemson.edu,28063,43,76185,29,0,NVIDIA A100 80GB PCIe,100,1,81920,18352,146.68
tw0004.dev.rcd.clemson.edu,27803,43,76993,29,0,NVIDIA A100 80GB PCIe,100,2,81920,18352,160.35
tw0004.dev.rcd.clemson.edu,27803,43,76993,29,0,NVIDIA A100 80GB PCIe,100,2,81920,18359,152.86
tw0004.dev.rcd.clemson.edu,28561,44,77451,30,0,NVIDIA A100 80GB PCIe,100,2,81920,18360,151.33
tw0004.dev.rcd.clemson.edu,28507,44,78238,30,0,NVIDIA A100 80GB PCIe,100,2,81920,18348,150.34
tw0004.dev.rcd.clemson.edu,28444,44,78665,30,0,NVIDIA A100 80GB PCIe,100,2,81920,18352,154.34
tw0004.dev.rcd.clemson.edu,28444,44,78665,30,0,NVIDIA A100 80GB PCIe,100,2,81920,18359,149.52
tw0004.dev.rcd.clemson.edu,27884,43,79538,30,0,NVIDIA A100 80GB PCIe,100,1,81920,18352,152.61
tw0004.dev.rcd.clemson.edu,27884,43,79538,30,0,NVIDIA A100 80GB PCIe,100,2,81920,18363,145.49
tw0004.dev.rcd.clemson.edu,28260,44,79938,31,0,NVIDIA A100 80GB PCIe,100,2,81920,18363,150.37
tw0004.dev.rcd.clemson.edu,28260,44,79938,31,0,NVIDIA A100 80GB PCIe,100,2,81920,18352,156.92
tw0004.dev.rcd.clemson.edu,28165,44,80822,31,0,NVIDIA A100 80GB PCIe,100,1,81920,18359,153.94
tw0004.dev.rcd.clemson.edu,28165,44,80822,31,0,NVIDIA A100 80GB PCIe,100,2,81920,18356,151.18
