Node Name,CPU Cores,CPU Usage (%),Memory Usage (MiB),Memory Usage (%),GPU Index,GPU Name,GPU Usage (%),GPU Memory Usage (%),GPU Memory Total (MiB),GPU Memory Usage (MiB),GPU Power Usage (W)
tw0004.dev.rcd.clemson.edu,50999,79,83658,32,0,NVIDIA A100 80GB PCIe,100,2,81920,17389,134.41
tw0004.dev.rcd.clemson.edu,50999,79,83658,32,0,NVIDIA A100 80GB PCIe,100,2,81920,17849,141.03
tw0004.dev.rcd.clemson.edu,37604,58,84247,32,0,NVIDIA A100 80GB PCIe,100,2,81920,17954,140.26
tw0004.dev.rcd.clemson.edu,37604,58,84247,32,0,NVIDIA A100 80GB PCIe,100,2,81920,18019,128.62
tw0004.dev.rcd.clemson.edu,35763,55,88202,34,0,NVIDIA A100 80GB PCIe,100,1,81920,18038,137.10
tw0004.dev.rcd.clemson.edu,35763,55,88202,34,0,NVIDIA A100 80GB PCIe,100,2,81920,18046,133.26
tw0004.dev.rcd.clemson.edu,35105,54,88969,34,0,NVIDIA A100 80GB PCIe,100,2,81920,18053,143.04
tw0004.dev.rcd.clemson.edu,37775,59,91643,35,0,NVIDIA A100 80GB PCIe,100,2,81920,18042,132.21
tw0004.dev.rcd.clemson.edu,37775,59,91643,35,0,NVIDIA A100 80GB PCIe,100,2,81920,18046,137.53
tw0004.dev.rcd.clemson.edu,37790,59,92164,35,0,NVIDIA A100 80GB PCIe,100,2,81920,18046,131.66
tw0004.dev.rcd.clemson.edu,37790,59,92164,35,0,NVIDIA A100 80GB PCIe,100,2,81920,18050,144.59
tw0004.dev.rcd.clemson.edu,35097,54,93176,36,0,NVIDIA A100 80GB PCIe,100,2,81920,18061,137.87
tw0004.dev.rcd.clemson.edu,35097,54,93176,36,0,NVIDIA A100 80GB PCIe,100,2,81920,18094,129.32
tw0004.dev.rcd.clemson.edu,35097,54,93176,36,0,NVIDIA A100 80GB PCIe,100,2,81920,18078,137.92
tw0004.dev.rcd.clemson.edu,35097,54,93176,36,0,NVIDIA A100 80GB PCIe,100,2,81920,18122,136.32
tw0004.dev.rcd.clemson.edu,35494,55,94793,36,0,NVIDIA A100 80GB PCIe,100,2,81920,18122,140.57
tw0004.dev.rcd.clemson.edu,35494,55,94793,36,0,NVIDIA A100 80GB PCIe,100,2,81920,18110,147.04
tw0004.dev.rcd.clemson.edu,35494,55,94793,36,0,NVIDIA A100 80GB PCIe,100,2,81920,18107,137.87
tw0004.dev.rcd.clemson.edu,36186,56,95295,37,0,NVIDIA A100 80GB PCIe,100,2,81920,18129,145.08
tw0004.dev.rcd.clemson.edu,36186,56,95295,37,0,NVIDIA A100 80GB PCIe,100,2,81920,18157,145.91
tw0004.dev.rcd.clemson.edu,35285,55,96299,37,0,NVIDIA A100 80GB PCIe,100,2,81920,18146,136.23
tw0004.dev.rcd.clemson.edu,35285,55,96299,37,0,NVIDIA A100 80GB PCIe,100,2,81920,18146,139.45
tw0004.dev.rcd.clemson.edu,35285,55,96299,37,0,NVIDIA A100 80GB PCIe,100,2,81920,18154,141.72
tw0004.dev.rcd.clemson.edu,35285,55,96299,37,0,NVIDIA A100 80GB PCIe,100,2,81920,18146,138.09
tw0004.dev.rcd.clemson.edu,35671,55,96796,37,0,NVIDIA A100 80GB PCIe,100,2,81920,18146,142.33
tw0004.dev.rcd.clemson.edu,35671,55,96796,37,0,NVIDIA A100 80GB PCIe,100,2,81920,18146,147.47
tw0004.dev.rcd.clemson.edu,34413,53,97322,37,0,NVIDIA A100 80GB PCIe,100,2,81920,18150,139.55
tw0004.dev.rcd.clemson.edu,34413,53,97322,37,0,NVIDIA A100 80GB PCIe,100,2,81920,18142,141.89
tw0004.dev.rcd.clemson.edu,34590,54,98251,38,0,NVIDIA A100 80GB PCIe,100,2,81920,18146,140.93
tw0004.dev.rcd.clemson.edu,34590,54,98251,38,0,NVIDIA A100 80GB PCIe,100,2,81920,18146,136.81
tw0004.dev.rcd.clemson.edu,34132,53,98706,38,0,NVIDIA A100 80GB PCIe,100,1,81920,18139,141.28
tw0004.dev.rcd.clemson.edu,34132,53,98706,38,0,NVIDIA A100 80GB PCIe,100,2,81920,18150,138.43
tw0004.dev.rcd.clemson.edu,34132,53,98706,38,0,NVIDIA A100 80GB PCIe,100,2,81920,18154,144.79
tw0004.dev.rcd.clemson.edu,33205,51,99587,38,0,NVIDIA A100 80GB PCIe,100,2,81920,18150,142.48
tw0004.dev.rcd.clemson.edu,33334,52,100072,38,0,NVIDIA A100 80GB PCIe,100,2,81920,18154,137.89
tw0004.dev.rcd.clemson.edu,33334,52,100072,38,0,NVIDIA A100 80GB PCIe,100,2,81920,18139,141.71
tw0004.dev.rcd.clemson.edu,33106,51,100900,39,0,NVIDIA A100 80GB PCIe,100,1,81920,18154,144.85
tw0004.dev.rcd.clemson.edu,33106,51,100900,39,0,NVIDIA A100 80GB PCIe,100,2,81920,18146,147.24
tw0004.dev.rcd.clemson.edu,33777,52,101299,39,0,NVIDIA A100 80GB PCIe,100,2,81920,18139,148.17
tw0004.dev.rcd.clemson.edu,33777,52,101299,39,0,NVIDIA A100 80GB PCIe,100,2,81920,18142,141.82
