Node Name,CPU Cores,CPU Usage (%),Memory Usage (MiB),Memory Usage (%),GPU Index,GPU Name,GPU Usage (%),GPU Memory Usage (%),GPU Memory Total (MiB),GPU Memory Usage (MiB),GPU Power Usage (W)
tw0004.dev.rcd.clemson.edu,44021,68,88918,34,0,NVIDIA A100 80GB PCIe,100,2,81920,18114,142.07
tw0004.dev.rcd.clemson.edu,42310,66,89453,34,0,NVIDIA A100 80GB PCIe,100,2,81920,18129,138.08
tw0004.dev.rcd.clemson.edu,42310,66,89453,34,0,NVIDIA A100 80GB PCIe,100,2,81920,18125,138.87
tw0004.dev.rcd.clemson.edu,42310,66,89453,34,0,NVIDIA A100 80GB PCIe,100,2,81920,18150,134.92
tw0004.dev.rcd.clemson.edu,43441,67,92141,35,0,NVIDIA A100 80GB PCIe,100,2,81920,18154,137.60
tw0004.dev.rcd.clemson.edu,43441,67,92141,35,0,NVIDIA A100 80GB PCIe,100,1,81920,18154,136.57
tw0004.dev.rcd.clemson.edu,43774,68,93855,36,0,NVIDIA A100 80GB PCIe,100,2,81920,18150,145.23
tw0004.dev.rcd.clemson.edu,43774,68,93855,36,0,NVIDIA A100 80GB PCIe,100,1,81920,18157,128.79
tw0004.dev.rcd.clemson.edu,44849,70,96983,37,0,NVIDIA A100 80GB PCIe,100,2,81920,18161,143.31
tw0004.dev.rcd.clemson.edu,44849,70,96983,37,0,NVIDIA A100 80GB PCIe,100,2,81920,18146,141.65
tw0004.dev.rcd.clemson.edu,48380,75,97525,37,0,NVIDIA A100 80GB PCIe,100,2,81920,18154,144.29
tw0004.dev.rcd.clemson.edu,45790,71,98692,38,0,NVIDIA A100 80GB PCIe,100,2,81920,18157,142.31
tw0004.dev.rcd.clemson.edu,45790,71,98692,38,0,NVIDIA A100 80GB PCIe,100,2,81920,18146,146.03
tw0004.dev.rcd.clemson.edu,45790,71,98692,38,0,NVIDIA A100 80GB PCIe,100,2,81920,18150,139.29
tw0004.dev.rcd.clemson.edu,43704,68,99146,38,0,NVIDIA A100 80GB PCIe,100,2,81920,18170,131.74
tw0004.dev.rcd.clemson.edu,43704,68,99146,38,0,NVIDIA A100 80GB PCIe,100,2,81920,18170,140.45
tw0004.dev.rcd.clemson.edu,42977,67,100136,38,0,NVIDIA A100 80GB PCIe,100,2,81920,18170,143.02
tw0004.dev.rcd.clemson.edu,42977,67,100136,38,0,NVIDIA A100 80GB PCIe,100,2,81920,18170,146.81
tw0004.dev.rcd.clemson.edu,41601,65,100590,39,0,NVIDIA A100 80GB PCIe,100,2,81920,18166,144.11
tw0004.dev.rcd.clemson.edu,42549,66,101527,39,0,NVIDIA A100 80GB PCIe,100,2,81920,18173,138.91
tw0004.dev.rcd.clemson.edu,42180,65,101970,39,0,NVIDIA A100 80GB PCIe,100,2,81920,18170,152.47
tw0004.dev.rcd.clemson.edu,42180,65,101970,39,0,NVIDIA A100 80GB PCIe,100,2,81920,18166,136.48
tw0004.dev.rcd.clemson.edu,42180,65,101970,39,0,NVIDIA A100 80GB PCIe,100,2,81920,18170,140.70
tw0004.dev.rcd.clemson.edu,41898,65,102854,40,0,NVIDIA A100 80GB PCIe,100,2,81920,18177,133.19
tw0004.dev.rcd.clemson.edu,41898,65,102854,40,0,NVIDIA A100 80GB PCIe,100,2,81920,18166,140.03
tw0004.dev.rcd.clemson.edu,42466,66,103316,40,0,NVIDIA A100 80GB PCIe,100,2,81920,18166,139.67
