Node Name,CPU Cores,CPU Usage (%),Memory Usage (MiB),Memory Usage (%),GPU Index,GPU Name,GPU Usage (%),GPU Memory Usage (%),GPU Memory Total (MiB),GPU Memory Usage (MiB),GPU Power Usage (W)
tw0004.dev.rcd.clemson.edu,41528,64,95644,37,0,NVIDIA A100 80GB PCIe,100,2,81920,17902,156.32
tw0004.dev.rcd.clemson.edu,41414,64,97373,37,0,NVIDIA A100 80GB PCIe,100,2,81920,17883,140.78
tw0004.dev.rcd.clemson.edu,41414,64,97373,37,0,NVIDIA A100 80GB PCIe,100,2,81920,17891,157.54
tw0004.dev.rcd.clemson.edu,42719,66,99739,38,0,NVIDIA A100 80GB PCIe,100,2,81920,18084,136.43
tw0004.dev.rcd.clemson.edu,42719,66,99739,38,0,NVIDIA A100 80GB PCIe,100,2,81920,18062,144.24
tw0004.dev.rcd.clemson.edu,42719,66,99739,38,0,NVIDIA A100 80GB PCIe,100,1,81920,18018,150.46
tw0004.dev.rcd.clemson.edu,41568,64,102662,39,0,NVIDIA A100 80GB PCIe,100,2,81920,18039,146.19
tw0004.dev.rcd.clemson.edu,41568,64,102662,39,0,NVIDIA A100 80GB PCIe,100,2,81920,18050,145.80
tw0004.dev.rcd.clemson.edu,45236,70,103170,40,0,NVIDIA A100 80GB PCIe,100,2,81920,18042,147.32
tw0004.dev.rcd.clemson.edu,45236,70,103170,40,0,NVIDIA A100 80GB PCIe,100,1,81920,18055,149.73
tw0004.dev.rcd.clemson.edu,46745,73,103594,40,0,NVIDIA A100 80GB PCIe,100,2,81920,18066,146.82
tw0004.dev.rcd.clemson.edu,46745,73,103594,40,0,NVIDIA A100 80GB PCIe,100,2,81920,18062,146.40
tw0004.dev.rcd.clemson.edu,41822,65,104491,40,0,NVIDIA A100 80GB PCIe,100,2,81920,18066,140.52
tw0004.dev.rcd.clemson.edu,41822,65,104491,40,0,NVIDIA A100 80GB PCIe,100,2,81920,18063,155.46
tw0004.dev.rcd.clemson.edu,42323,66,104961,40,0,NVIDIA A100 80GB PCIe,100,2,81920,18047,146.79
tw0004.dev.rcd.clemson.edu,42323,66,104961,40,0,NVIDIA A100 80GB PCIe,100,2,81920,18058,146.24
tw0004.dev.rcd.clemson.edu,42055,65,105873,41,0,NVIDIA A100 80GB PCIe,100,2,81920,18062,152.68
tw0004.dev.rcd.clemson.edu,42055,65,105873,41,0,NVIDIA A100 80GB PCIe,100,2,81920,18059,137.92
tw0004.dev.rcd.clemson.edu,42560,66,106332,41,0,NVIDIA A100 80GB PCIe,100,2,81920,18066,154.08
tw0004.dev.rcd.clemson.edu,42560,66,106332,41,0,NVIDIA A100 80GB PCIe,100,2,81920,18059,159.42
tw0004.dev.rcd.clemson.edu,42560,66,106332,41,0,NVIDIA A100 80GB PCIe,100,2,81920,18114,148.85
tw0004.dev.rcd.clemson.edu,41918,65,107165,41,0,NVIDIA A100 80GB PCIe,100,2,81920,18087,147.03
tw0004.dev.rcd.clemson.edu,41918,65,107165,41,0,NVIDIA A100 80GB PCIe,100,2,81920,18098,131.67
tw0004.dev.rcd.clemson.edu,43398,67,107600,41,0,NVIDIA A100 80GB PCIe,100,1,81920,18087,152.68
tw0004.dev.rcd.clemson.edu,42472,66,108387,42,0,NVIDIA A100 80GB PCIe,100,1,81920,18087,153.21
tw0004.dev.rcd.clemson.edu,42472,66,108387,42,0,NVIDIA A100 80GB PCIe,100,2,81920,18102,156.56
tw0004.dev.rcd.clemson.edu,42472,66,108387,42,0,NVIDIA A100 80GB PCIe,100,1,81920,18087,149.52
tw0004.dev.rcd.clemson.edu,42472,66,108387,42,0,NVIDIA A100 80GB PCIe,100,2,81920,18147,148.90
tw0004.dev.rcd.clemson.edu,42358,66,108787,42,0,NVIDIA A100 80GB PCIe,100,2,81920,18128,141.93
tw0004.dev.rcd.clemson.edu,42358,66,108787,42,0,NVIDIA A100 80GB PCIe,100,2,81920,18128,150.11
tw0004.dev.rcd.clemson.edu,42573,66,109614,42,0,NVIDIA A100 80GB PCIe,100,2,81920,18116,147.57
